epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.52972,3.37641,3.28857,3.24577,0.00333,1,0.03109,0.00933,3.98143,3.89355,3.35166,0,0,0
2,2.03782,3.43563,4.53845,3.55933,0.00333,1,0.04975,0.00709,4.0043,3.8442,3.32197,1.9802e-05,1.9802e-05,1.9802e-05
3,2.48995,3.6016,4.49068,3.82125,0.00333,1,0.03554,0.00506,4.05135,3.8335,3.44102,3.9208e-05,3.9208e-05,3.9208e-05
4,2.92684,2.64863,3.73911,3.11517,0.00333,1,0.01292,0.00258,4.07225,3.81836,3.353,5.8218e-05,5.8218e-05,5.8218e-05
5,3.39628,3.50271,3.65066,3.57434,0.00333,1,0.06219,0.0072,3.87292,3.7194,3.26572,7.6832e-05,7.6832e-05,7.6832e-05
6,3.98933,3.3815,3.504,3.25416,0.00333,1,0.01508,0.00255,3.73914,3.82056,3.22494,9.505e-05,9.505e-05,9.505e-05
7,4.6214,3.55331,4.19793,4.60048,0.00333,1,0.01118,0.00428,3.39958,3.83078,3.03144,0.000112872,0.000112872,0.000112872
8,5.21715,1.74876,5.13189,2.60521,0.00333,1,0.01605,0.0075,2.48919,4.4098,2.75357,0.000130298,0.000130298,0.000130298
9,5.79709,2.33341,6.05606,2.45792,0.00333,1,0.01345,0.00682,2.38514,4.56876,2.70988,0.000147328,0.000147328,0.000147328
10,6.41912,3.04167,3.59026,2.64763,0.00333,1,0.24875,0.0555,2.13537,3.90657,2.51809,0.000163962,0.000163962,0.000163962
11,7.00864,2.10415,3.63705,2.0544,0.00333,1,0.4975,0.24875,1.93271,3.06411,2.07281,0.0001802,0.0001802,0.0001802
12,7.58147,1.63149,2.91812,1.43463,0.00333,1,0.33167,0.1598,1.63345,2.80103,1.37209,0.000196042,0.000196042,0.000196042
13,8.12165,1.615,3.60348,2.03143,0.00333,1,0.33167,0.22387,1.28075,2.85052,1.24116,0.000211488,0.000211488,0.000211488
14,8.72999,2.11349,3.53627,2.06199,0.00333,1,0.995,0.36483,1.29135,2.82984,1.15082,0.000226538,0.000226538,0.000226538
15,9.28828,1.80263,4.04818,1.93772,0.00333,1,0.995,0.597,1.27454,2.81774,1.20368,0.000241192,0.000241192,0.000241192
16,9.84423,1.3805,3.00403,1.30163,0.00333,1,0.995,0.69768,1.01157,2.80638,1.02138,0.00025545,0.00025545,0.00025545
17,10.4748,1.65803,2.62276,1.23982,0.00333,1,0.995,0.796,0.93319,2.77318,0.95893,0.000269312,0.000269312,0.000269312
18,11.0231,1.71132,3.28482,1.73011,0.00333,1,0.995,0.796,0.93319,2.77318,0.95893,0.000282778,0.000282778,0.000282778
19,11.5872,0.76454,3.20019,1.2173,0.00333,1,0.995,0.796,0.73517,2.63681,0.90507,0.000295848,0.000295848,0.000295848
20,12.1662,1.97124,3.2247,2.19184,0.00333,1,0.995,0.796,0.73517,2.63681,0.90507,0.000308522,0.000308522,0.000308522
21,12.7767,1.12747,3.31082,1.39436,0.00333,1,0.4975,0.398,0.69307,2.69552,0.87217,0.0003208,0.0003208,0.0003208
22,13.5014,0.65997,2.6363,1.29558,0.00333,1,0.4975,0.398,0.69307,2.69552,0.87217,0.000332682,0.000332682,0.000332682
23,14.0837,0.94159,2.46707,0.9978,0.00333,1,0.995,0.6965,0.56714,2.64246,0.84157,0.000344168,0.000344168,0.000344168
24,14.6404,1.64761,3.03896,2.09671,0.00333,1,0.995,0.6965,0.56714,2.64246,0.84157,0.000355258,0.000355258,0.000355258
25,15.1973,1.49075,2.77718,1.17639,0.00333,1,0.995,0.796,0.70159,2.6446,0.83759,0.000365952,0.000365952,0.000365952
26,15.7555,1.43328,2.53707,1.26788,0.00333,1,0.995,0.796,0.70159,2.6446,0.83759,0.00037625,0.00037625,0.00037625
27,16.3816,2.15475,3.63892,1.38543,0.00333,1,0.995,0.796,0.70566,2.62267,0.89041,0.000386152,0.000386152,0.000386152
28,16.9378,0.84866,2.42481,1.29801,0.00333,1,0.995,0.796,0.70566,2.62267,0.89041,0.000395658,0.000395658,0.000395658
29,17.4951,1.58751,2.41973,1.4752,0.00333,1,0.995,0.597,1.17835,2.63648,0.9998,0.000404768,0.000404768,0.000404768
30,18.0717,0.79648,2.25175,1.00211,0.00333,1,0.995,0.597,1.17835,2.63648,0.9998,0.000413482,0.000413482,0.000413482
31,18.6616,0.73909,2.35554,0.95865,0.00333,1,0.995,0.4008,1.76759,2.7441,1.2676,0.0004218,0.0004218,0.0004218
32,19.1962,0.9713,3.00918,1.25531,0.00333,1,0.995,0.4008,1.76759,2.7441,1.2676,0.000429722,0.000429722,0.000429722
33,19.7732,2.17829,3.61015,1.71545,0.00333,1,0.995,0.597,1.77688,2.7832,1.3785,0.000437248,0.000437248,0.000437248
34,20.301,2.21952,3.25744,2.01123,0.00333,1,0.995,0.597,1.77688,2.7832,1.3785,0.000444378,0.000444378,0.000444378
35,21.0192,1.52129,2.52215,1.4675,0.00333,1,0.995,0.6965,1.56207,3.08217,1.38931,0.000451112,0.000451112,0.000451112
36,21.5517,2.11932,6.60158,1.59488,0.00333,1,0.995,0.6965,1.56207,3.08217,1.38931,0.00045745,0.00045745,0.00045745
37,22.1163,1.32886,2.17315,1.49591,0.00333,1,0.995,0.4975,1.92829,3.05819,1.37069,0.000463392,0.000463392,0.000463392
38,22.6435,1.56165,2.23829,1.18386,0.00333,1,0.995,0.4975,1.92829,3.05819,1.37069,0.000468938,0.000468938,0.000468938
39,23.2115,1.259,2.13475,1.19784,0.00333,1,0.995,0.796,1.30987,2.72449,1.05891,0.000474088,0.000474088,0.000474088
40,23.8203,1.3901,2.28578,1.19241,0.00333,1,0.995,0.796,1.30987,2.72449,1.05891,0.000478842,0.000478842,0.000478842
41,24.3972,1.66537,2.45556,1.90829,0.00333,1,0.995,0.66333,0.99828,2.68327,0.94843,0.0004832,0.0004832,0.0004832
42,24.9215,1.4287,2.81874,1.32889,0.00333,1,0.995,0.66333,0.99828,2.68327,0.94843,0.000487162,0.000487162,0.000487162
43,25.5086,1.17967,2.40922,1.08285,0.00333,1,0.4975,0.3184,0.9664,2.73775,0.89671,0.000490728,0.000490728,0.000490728
44,26.0775,1.19908,1.86464,1.08256,0.00333,1,0.4975,0.3184,0.9664,2.73775,0.89671,0.000493898,0.000493898,0.000493898
45,26.6498,0.8924,2.01352,1.18699,0.00333,1,0.995,0.8955,0.9345,2.59768,0.88718,0.000496672,0.000496672,0.000496672
46,27.2747,1.54547,5.88754,1.34633,0.00333,1,0.995,0.8955,0.9345,2.59768,0.88718,0.00049905,0.00049905,0.00049905
47,27.871,1.2428,2.14252,0.95927,0.00333,1,0.995,0.34825,1.11645,2.73576,0.89884,0.000501032,0.000501032,0.000501032
48,28.5146,1.03388,1.54231,0.863,0.00333,1,0.995,0.34825,1.11645,2.73576,0.89884,0.000502618,0.000502618,0.000502618
49,29.102,1.23304,2.00714,1.39033,0.00333,1,0.995,0.2985,1.0465,2.63857,0.8712,0.000503808,0.000503808,0.000503808
50,29.645,1.35678,2.0082,1.25871,0.00333,1,0.995,0.2985,1.0465,2.63857,0.8712,0.000504602,0.000504602,0.000504602
51,30.2444,1.51312,1.88146,1.21334,0.00333,1,0.995,0.597,0.96234,2.61023,0.88387,0.000505,0.000505,0.000505
52,30.7867,0.81152,2.21604,1.01604,0.00333,1,0.995,0.597,0.96234,2.61023,0.88387,0.000505002,0.000505002,0.000505002
53,31.3794,0.4691,1.81513,1.08314,0.00333,1,0.995,0.597,0.96234,2.61023,0.88387,0.000504608,0.000504608,0.000504608
54,31.9549,0.99968,1.56494,1.16976,0.11557,1,0.995,0.6965,0.91252,2.39645,0.83922,0.000503818,0.000503818,0.000503818
55,32.5199,1.27386,1.79297,1.29639,0.11557,1,0.995,0.6965,0.91252,2.39645,0.83922,0.000502632,0.000502632,0.000502632
56,33.06,1.18293,1.59274,1.00379,0.11557,1,0.995,0.6965,0.91252,2.39645,0.83922,0.00050105,0.00050105,0.00050105
57,33.6388,0.91697,1.47802,1.02869,0.80533,1,0.995,0.6965,1.06009,2.02175,0.8843,0.000499072,0.000499072,0.000499072
58,34.207,1.12585,1.62517,0.96998,0.80533,1,0.995,0.6965,1.06009,2.02175,0.8843,0.000496698,0.000496698,0.000496698
59,34.7508,1.15729,1.8561,1.1132,0.80533,1,0.995,0.6965,1.06009,2.02175,0.8843,0.000493928,0.000493928,0.000493928
60,35.2915,1.08983,1.39305,0.87816,0.93507,1,0.995,0.796,1.02075,1.55442,0.85757,0.000490762,0.000490762,0.000490762
61,35.8628,0.74843,1.51361,0.94798,0.93507,1,0.995,0.796,1.02075,1.55442,0.85757,0.0004872,0.0004872,0.0004872
62,36.4147,0.88668,1.87816,0.83135,0.93507,1,0.995,0.796,1.02075,1.55442,0.85757,0.000483242,0.000483242,0.000483242
63,37.0175,0.99009,1.36265,0.85889,0.95434,1,0.995,0.796,0.78385,1.42877,0.77856,0.000478888,0.000478888,0.000478888
64,37.5611,0.92604,2.7714,1.01249,0.95434,1,0.995,0.796,0.78385,1.42877,0.77856,0.000474138,0.000474138,0.000474138
65,38.111,0.58565,1.2513,0.90463,0.95434,1,0.995,0.796,0.78385,1.42877,0.77856,0.000468992,0.000468992,0.000468992
66,38.6681,0.76803,1.27146,1.02203,0.9577,1,0.995,0.796,0.74545,1.60321,0.84303,0.00046345,0.00046345,0.00046345
67,39.2622,0.76594,1.01558,0.98227,0.9577,1,0.995,0.796,0.74545,1.60321,0.84303,0.000457512,0.000457512,0.000457512
68,39.8098,0.74349,1.52453,1.22355,0.9577,1,0.995,0.796,0.74545,1.60321,0.84303,0.000451178,0.000451178,0.000451178
69,40.3893,0.86605,1.45544,1.37292,0.94926,1,0.995,0.796,0.71886,1.70362,0.82456,0.000444448,0.000444448,0.000444448
70,40.9442,1.00793,1.6941,1.1799,0.94926,1,0.995,0.796,0.71886,1.70362,0.82456,0.000437322,0.000437322,0.000437322
71,41.5332,0.79763,1.63391,1.19253,0.94926,1,0.995,0.796,0.71886,1.70362,0.82456,0.0004298,0.0004298,0.0004298
72,42.1049,0.88135,1.40417,1.13452,0.93798,1,0.995,0.8955,0.52634,1.56496,0.73708,0.000421882,0.000421882,0.000421882
73,42.6448,1.159,1.78812,1.07026,0.93798,1,0.995,0.8955,0.52634,1.56496,0.73708,0.000413568,0.000413568,0.000413568
74,43.4386,0.50488,1.47288,0.80868,0.93798,1,0.995,0.8955,0.52634,1.56496,0.73708,0.000404858,0.000404858,0.000404858
75,43.9995,0.77576,1.34586,0.92619,0.92763,1,0.995,0.8955,0.49788,1.50906,0.72051,0.000395752,0.000395752,0.000395752
76,44.5714,0.59249,1.1569,0.93131,0.92763,1,0.995,0.8955,0.49788,1.50906,0.72051,0.00038625,0.00038625,0.00038625
77,45.2472,0.57322,1.11069,0.89411,0.92763,1,0.995,0.8955,0.49788,1.50906,0.72051,0.000376352,0.000376352,0.000376352
78,45.8449,0.61401,2.02552,0.55436,0.94522,1,0.995,0.995,0.47133,1.47989,0.70556,0.000366058,0.000366058,0.000366058
79,46.4367,0.93707,1.58852,1.1013,0.94522,1,0.995,0.995,0.47133,1.47989,0.70556,0.000355368,0.000355368,0.000355368
80,46.987,0.61694,1.1874,0.82544,0.94522,1,0.995,0.995,0.47133,1.47989,0.70556,0.000344282,0.000344282,0.000344282
81,47.6061,1.36543,1.7312,1.1409,0.96101,1,0.995,0.995,0.50839,1.26363,0.73666,0.0003328,0.0003328,0.0003328
82,48.1363,1.31648,1.89361,0.75172,0.96101,1,0.995,0.995,0.50839,1.26363,0.73666,0.000320922,0.000320922,0.000320922
83,48.6797,0.74669,1.26545,1.01661,0.96101,1,0.995,0.995,0.50839,1.26363,0.73666,0.000308648,0.000308648,0.000308648
84,49.3376,0.96846,1.54863,0.81369,0.96609,1,0.995,0.8955,0.48978,1.11377,0.77459,0.000295978,0.000295978,0.000295978
85,49.89,0.50221,1.06293,0.87757,0.96609,1,0.995,0.8955,0.48978,1.11377,0.77459,0.000282912,0.000282912,0.000282912
86,50.4242,0.65145,1.06284,0.68717,0.96609,1,0.995,0.8955,0.48978,1.11377,0.77459,0.00026945,0.00026945,0.00026945
87,50.9673,1.55475,2.5231,1.29395,0.96609,1,0.995,0.8955,0.48978,1.11377,0.77459,0.000255592,0.000255592,0.000255592
88,51.5193,0.42158,1.14817,0.98585,0.96756,1,0.995,0.995,0.46804,1.04846,0.80127,0.000241338,0.000241338,0.000241338
89,52.1093,1.0277,1.47064,1.49379,0.96756,1,0.995,0.995,0.46804,1.04846,0.80127,0.000226688,0.000226688,0.000226688
90,52.6811,0.76753,1.48325,1.05139,0.96756,1,0.995,0.995,0.46804,1.04846,0.80127,0.000211642,0.000211642,0.000211642
91,53.7799,0.99882,1.79785,1.3929,0.96756,1,0.995,0.995,0.46804,1.04846,0.80127,0.0001962,0.0001962,0.0001962
92,54.536,0.7657,1.48574,0.99687,0.96827,1,0.995,0.995,0.45646,1.01756,0.78939,0.000180362,0.000180362,0.000180362
93,55.1463,1.16901,3.09368,1.09187,0.96827,1,0.995,0.995,0.45646,1.01756,0.78939,0.000164128,0.000164128,0.000164128
94,55.7278,1.5438,2.16467,1.70658,0.96827,1,0.995,0.995,0.45646,1.01756,0.78939,0.000147498,0.000147498,0.000147498
95,56.2917,0.87013,1.69092,0.52735,0.96827,1,0.995,0.995,0.45646,1.01756,0.78939,0.000130472,0.000130472,0.000130472
96,56.8643,1.14852,1.56955,1.23291,0.96871,1,0.995,0.995,0.41152,0.95865,0.7645,0.00011305,0.00011305,0.00011305
97,57.4567,1.381,2.26787,0.88185,0.96871,1,0.995,0.995,0.41152,0.95865,0.7645,9.5232e-05,9.5232e-05,9.5232e-05
98,58.0092,0.45337,1.11734,0.92148,0.96871,1,0.995,0.995,0.41152,0.95865,0.7645,7.7018e-05,7.7018e-05,7.7018e-05
99,58.5857,0.50584,1.62111,1.04919,0.96871,1,0.995,0.995,0.41152,0.95865,0.7645,5.8408e-05,5.8408e-05,5.8408e-05
100,59.1575,0.79509,1.44734,1.36561,0.96877,1,0.995,0.995,0.40483,0.94773,0.76698,3.9402e-05,3.9402e-05,3.9402e-05
